,epoch,overallAccuracy,overallLoss,classAccuracy_0,classLoss_0,classAccuracy_1,classLoss_1,classAccuracy_2,classLoss_2,classAccuracy_3,classLoss_3
0,1,0.8538876837005986,0.04708834180375132,0.5516897368749221,0.05672418528657396,0.22607833415964304,0.07198581775636761,0.8510686572582475,0.04668599296702596,0.9822137091257354,0.04303096471487921
1,2,0.9485230553426087,0.0187312759464452,0.8512283327098142,0.022346401599545766,0.7030242935052058,0.030572315396492675,0.9458183963334392,0.0189856690377476,0.9941852510603366,0.01673103207806408
2,3,0.9804433280595019,0.007889883307060435,0.945379723157501,0.009554777279528233,0.8919186911254338,0.01300187161862595,0.9793982847029995,0.008041584859876686,0.9969558079080586,0.006966203176089759
3,4,0.9924154691807076,0.0031634368503733823,0.9791744606559422,0.0036843205082619235,0.9558750619732276,0.005364179789812868,0.991831919045242,0.0031659975771625125,0.9990080722397044,0.0028668061451568782
4,5,0.9979937692671549,0.0009312680316857362,0.9941389200648459,0.0012698019629004016,0.9920674268715914,0.0014067345959256025,0.997685710396152,0.0008676994649821091,0.9996921603502531,0.0008535262356112259
