,epoch,overallAccuracy,overallLoss,classAccuracy_0,classLoss_0,classAccuracy_1,classLoss_1,classAccuracy_2,classLoss_2,classAccuracy_3,classLoss_3
0,1,0.8523707775367401,0.04725355220867783,0.5609178201770795,0.05660666596664568,0.24343083787803668,0.0721439766046768,0.8427190633933839,0.0469198438293016,0.9815980298262417,0.04322247156578687
1,2,0.9444290397820875,0.019805458821169207,0.8386332460406535,0.024015176585357585,0.6866633614278632,0.03212401191989531,0.9397377138448972,0.019918689311062977,0.9947667259543029,0.01771558644954018
2,3,0.9783718540507919,0.008455558138794278,0.9373986781394189,0.01057089046020661,0.894893406048587,0.012885307685239392,0.9759949176385171,0.008664132972363866,0.9971610343412232,0.007412528369743852
3,4,0.9942422809049243,0.002382666360828686,0.9849108367626886,0.002903374327741616,0.9742191373326723,0.0035864100394127412,0.9927848618232972,0.0023999120967889117,0.999281707483924,0.0021437981001317945
4,5,0.9986298912068375,0.0005577334909917885,0.9967577004614042,0.0007304567975855964,0.9950421417947447,0.0008373084424000734,0.9980941144438898,0.0005449149065555143,0.9997947735668354,0.0005007322689592231
