,epoch,overallAccuracy,overallLoss,classAccuracy_0,classLoss_0,classAccuracy_1,classLoss_1,classAccuracy_2,classLoss_2,classAccuracy_3,classLoss_3
0,1,0.8144807450782103,0.07300657167573751,0.5324853473001621,0.08297271970820928,0.22905304908279622,0.1131683507376435,0.7761492036121069,0.07222889748137551,0.9611095909153099,0.06808841449899994
1,2,0.9096543737461058,0.03764650153803085,0.7826412270856715,0.043388960797782226,0.6415468517600397,0.06026994612548837,0.8719426419204066,0.038147006673356305,0.9914146942126146,0.03413337045977064
2,3,0.9586357631016653,0.01908553823886543,0.8973687492206011,0.022717799143069716,0.8591968269707486,0.029303296377641567,0.939510822707265,0.01914478785625824,0.9967163770693666,0.017339676897532446
3,4,0.9832977213785904,0.008336056311124638,0.963212370619778,0.009597376633820478,0.9474467030242935,0.011688783777944554,0.9751781095430413,0.008530147128986802,0.9974004651799152,0.0076124909013044785
4,5,0.9939976186204309,0.003148001656519083,0.9870308018456166,0.0036780799420098606,0.984134853743183,0.004243961161409249,0.9908335980396605,0.0031001596812631465,0.9989738678341771,0.0029630599926800173
