,epoch,overallAccuracy,overallLoss,classAccuracy_0,classLoss_0,classAccuracy_1,classLoss_1,classAccuracy_2,classLoss_2,classAccuracy_3,classLoss_3
0,1,0.913150061285239,0.032049654133527436,0.5380693405846363,0.04457700703410846,0.11160714285714286,0.06574906636836074,0.8253121930686124,0.03497533416248763,0.990730606102066,0.029301234417365284
1,2,0.9670560572329089,0.0125656777226527,0.8463630183548606,0.01820622216325673,0.5997023809523809,0.030588354522478767,0.9318086151255788,0.014270404180859567,0.9962375153919825,0.01116824626755007
2,3,0.9837156364909824,0.0065822308670021685,0.9248810333106731,0.009375744933063588,0.8363095238095238,0.017274856389554942,0.9607127823768766,0.007659887356482845,0.9986318237789027,0.005792641985690191
3,4,0.9927208144683193,0.003269159249462182,0.969068660774983,0.004953900985466913,0.9107142857142857,0.008466060690558325,0.9828819980356391,0.0036013165183497262,0.9993843207005062,0.0028992005406407273
4,5,0.99737348975661,0.0011882853990919015,0.9901427600271924,0.0016339928401700931,0.9747023809523809,0.0027235173247471983,0.9925634909499088,0.001420531271679652,0.9997947735668354,0.0010515305940698295
