,epoch,overallAccuracy,overallLoss,classAccuracy_0,classLoss_0,classAccuracy_1,classLoss_1,classAccuracy_2,classLoss_2,classAccuracy_3,classLoss_3
0,1,0.8991670210370963,0.06953575537209784,0.3796736913664174,0.12776955163560905,0.0,0.22784518707721008,0.8264346850007016,0.08228423082431537,0.9898412915583528,0.05692916927068043
1,2,0.9409910698651724,0.04085744141620532,0.7287559483344663,0.07744432051104502,0.09970238095238096,0.1586923349033376,0.8898554791637435,0.05043749420914477,0.9941510466548091,0.03213187420538131
2,3,0.9678565174975611,0.02305767431172462,0.8361658735554045,0.045151881494308155,0.5,0.10712257523014809,0.9427529114634489,0.0273225708393059,0.9979819400738815,0.017862412015226703
3,4,0.9841909097731195,0.01207300774520472,0.9214819850441877,0.023105641547894195,0.7901785714285714,0.05575668552877947,0.9685702259015013,0.014339696519222301,0.9987686414010124,0.009406154173905706
4,5,0.9946469219801386,0.004252505944339117,0.9738273283480625,0.008298895254763877,0.9241071428571429,0.020069546485090194,0.9897572611196856,0.005447937706476475,0.9995553427281434,0.0031903438577538332
