,epoch,overallAccuracy,overallLoss,classAccuracy_0,classLoss_0,classAccuracy_1,classLoss_1,classAccuracy_2,classLoss_2,classAccuracy_3,classLoss_3
0,1,0.8496468707693813,0.059218571664637426,0.6440952737249034,0.06702082198365256,0.44719881011403073,0.09165052998792883,0.7943912510777329,0.05892599776075226,0.9754412368313039,0.0550615715919071
1,2,0.9503824887047578,0.022433986240401806,0.8842748472378102,0.02538798908972226,0.8329201784828953,0.03371778378719023,0.9276217270953396,0.02290064558299702,0.9937747981940074,0.020493524466104928
2,3,0.982302761421651,0.008584161894403211,0.9617159246788877,0.010034314058511325,0.954387704511651,0.012071562853267036,0.9724100376639289,0.008758016964626737,0.9973320563688604,0.007814764503497234
3,4,0.9929537262065928,0.003564638117375666,0.9857837635615413,0.003836816791105223,0.984134853743183,0.004596519790339574,0.9887008213459182,0.003702572435438338,0.998734436995485,0.00331482402905467
4,5,0.9983036748275131,0.000922474548592899,0.996258885147774,0.0011684361072002594,0.9955379276152702,0.0012331115109868885,0.9975949539410991,0.0009071984106049658,0.9995895471336708,0.0008450945978889375
